Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/21/2022,08/22/2022,WALGREENS #4403,Health & Wellness,Sale,-3.18,
08/19/2022,08/21/2022,PAYPAL *STEAM GAMES,Entertainment,Sale,-4.24,
08/18/2022,08/21/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/20/2022,08/21/2022,TST* RIVER GRILLE PLUS,Food & Drink,Sale,-15.48,
08/18/2022,08/19/2022,LOS AMIGOS* LOS AMIGOS,Food & Drink,Sale,-14.93,
08/16/2022,08/18/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/17/2022,08/18/2022,POPEYES 13333,Food & Drink,Sale,-12.83,
08/16/2022,08/17/2022,BRAVO PIZZERIA,Food & Drink,Sale,-14.45,
08/15/2022,08/17/2022,7-ELEVEN 34396,Gas,Sale,-2.59,
08/14/2022,08/15/2022,THAI NOODL* THAI NOODL,Food & Drink,Sale,-21.35,
08/14/2022,08/15/2022,7-ELEVEN 37373,Gas,Sale,-11.42,
08/13/2022,08/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-196.44,
08/12/2022,08/14/2022,7-ELEVEN 37373,Gas,Sale,-13.90,
08/13/2022,08/14/2022,7-ELEVEN 37373,Gas,Sale,-13.91,
08/12/2022,08/14/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/10/2022,08/12/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/10/2022,08/11/2022,CSC SERVICEWORK,Food & Drink,Sale,-2.00,
08/09/2022,08/10/2022,LOS AMIGOS* LOS AMIGOS,Food & Drink,Sale,-12.25,
08/08/2022,08/10/2022,7-ELEVEN 34396,Gas,Sale,-4.60,
08/07/2022,08/08/2022,NOUR AL SHAM MARKET,Groceries,Sale,-25.27,
08/02/2022,08/04/2022,7-ELEVEN 34396,Gas,Sale,-4.35,
08/01/2022,08/02/2022,7-ELEVEN 37485,Gas,Sale,-12.66,
07/30/2022,07/31/2022,Payment Thank You - Web,,Payment,216.71,
07/29/2022,07/31/2022,7-ELEVEN 34396,Gas,Sale,-14.81,
07/30/2022,07/31/2022,SCRUBADUB QUINCY,Automotive,Sale,-25.00,
07/27/2022,07/29/2022,7-ELEVEN 34396,Gas,Sale,-4.35,
07/25/2022,07/27/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
07/25/2022,07/27/2022,7-ELEVEN 34396,Gas,Sale,-4.35,
07/24/2022,07/25/2022,7-ELEVEN 37373,Gas,Sale,-9.92,
07/23/2022,07/25/2022,7-ELEVEN 37485,Gas,Sale,-10.67,
07/21/2022,07/22/2022,7-ELEVEN 34396,Gas,Sale,-7.09,
07/19/2022,07/20/2022,LOS AMIGOS* LOS AMIGOS,Food & Drink,Sale,-13.91,
07/18/2022,07/20/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
07/14/2022,07/17/2022,7-ELEVEN 37373,Gas,Sale,-9.67,
07/13/2022,07/15/2022,7-ELEVEN 34396,Gas,Sale,-4.35,
07/13/2022,07/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-60.37,
07/12/2022,07/13/2022,LOS AMIGOS* LOS AMIGOS,Food & Drink,Sale,-12.25,
07/11/2022,07/13/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
07/04/2022,07/06/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
07/01/2022,07/03/2022,SUNOCO 0447906903,Gas,Sale,-51.82,
07/02/2022,07/03/2022,Payment Thank You - Web,,Payment,231.50,
06/30/2022,07/01/2022,MARSHALLS #0708,Shopping,Sale,-12.93,
06/27/2022,06/30/2022,SEGPAY.COM  *SKYLINE,Shopping,Sale,-6.99,
06/28/2022,06/29/2022,LOS AMIGOS* LOS AMIGOS,Food & Drink,Sale,-19.85,
06/28/2022,06/29/2022,LOS AMIGOS* LOS AMIGOS,Food & Drink,Sale,-12.79,
06/23/2022,06/24/2022,USA*CSC SERVICEWORK,Food & Drink,Sale,-2.00,
06/21/2022,06/22/2022,SUPER PETRO ROSLINDALE,Gas,Sale,-59.47,
06/18/2022,06/19/2022,WALGREENS #11831,Health & Wellness,Sale,-29.40,
06/16/2022,06/19/2022,BRAVO PIZZERIA,Food & Drink,Sale,-17.66,
06/13/2022,06/14/2022,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-70.41,
05/31/2022,06/01/2022,Payment Thank You - Web,,Payment,611.47,
05/29/2022,05/29/2022,PAYPAL *NAMECHEAP,Bills & Utilities,Sale,-9.16,
05/28/2022,05/29/2022,SCRUBADUB QUINCY,Automotive,Sale,-10.00,
05/26/2022,05/29/2022,7-ELEVEN 37485,Gas,Sale,-7.03,
05/25/2022,05/26/2022,MARSHALLS #0708,Shopping,Sale,-32.93,
05/22/2022,05/23/2022,WAL-MART #2341,Shopping,Sale,-5.29,
05/21/2022,05/23/2022,STOP &amp; SHOP 0017,Groceries,Sale,-18.67,
05/22/2022,05/23/2022,WAL-MART #2341,Shopping,Sale,-86.91,
05/22/2022,05/23/2022,T-MOBILE STORE # 4512,Shopping,Sale,-45.75,
05/20/2022,05/22/2022,PAYPAL *PADDLE.COM,Shopping,Sale,-75.65,
05/19/2022,05/20/2022,TST* Christos Pizza,Food & Drink,Sale,-11.77,
05/18/2022,05/19/2022,SQ *LOS AMIGOS TAQUERIA,Food & Drink,Sale,-15.52,
